,/occupation/occupation_name_short_singular,/occupation/quick_facts/qf_median_pay_annual/value,/occupation/what_they_do/section_body,/occupation/how_to_become_one/section_body,/occupation/summary_work_environment,/occupation/similar_occupations/section_body
30,Automotive Service Technician or Mechanic,47770.0,"Automotive service technicians and mechanics, often called service technicians or service techs, inspect, maintain, and repair cars and light trucks.  Identify problems, often by using computerized diagnostic equipment service technicians ",Employers prefer that automotive service technicians and mechanics complete a program at a postsecondary institution. Industry certification is usually required once the person is employed.   Customer-service skills ,"Most automotive service technicians and mechanics work in well-ventilated and well-lit repair shops. Although technicians often identify and fix automotive problems with computers, they commonly work with greasy parts and tools, sometimes in uncomfortable positions.","automotive service technicians and mechanics.    Automotive body and glass repairers restore, refinish, and replace vehicle bodies and frames, windshields, and window glass. Diesel service technicians and mechanics inspect, repair, and overhaul buses, trucks, or any vehicle with a diesel engine. Heavy vehicle and mobile equipment service technicians inspect, maintain, and repair vehicles and machinery used in construction, farming, and other industries. Small engine mechanics inspect, service, and repair motorized power equipment. Aircraft and avionics equipment mechanics and technicians install, test, adjust, and repair equipment and systems in aircraft."
31,Baker,34950.0,"Bakers mix ingredients according to recipes in order to make breads, pastries, and other baked goods.  Prepare workstation for baking Commercial bakers ","Bakers typically need no formal educational credential to enter the occupation; however, employers may prefer or require that candidates have a high school diploma, and some candidates choose to attend a technical or culinary school. Bakers typically learn their skills through on-the-job training, which may include participating in an apprenticeship program.   Communication skills. ","Most bakers work in retail or commercial bakeries (manufacturing facilities), grocery stores or wholesale club stores, and restaurants. Work shifts often include early mornings, nights, weekends, and holidays.","bakers.    Chefs and head cooks oversee the daily food preparation at restaurants and other places where food is served. Cooks season and prepare foods, including soups, salads, entrees, and desserts. Food processing equipment workers operate machinery that mixes, cooks, or processes ingredients for manufacturing food products. Food preparation workers perform a variety of tasks other than cooking, such as slicing meat and brewing coffee."
32,"Barber, Hairstylist, or Cosmetologist",35080.0,"Barbers, hairstylists, and cosmetologists provide haircutting, hairstyling, and other services related to personal appearance.  Inspect and analyze hair, scalp, and skin to recommend services or treatment Barbers ","All states require barbers, hairstylists, and cosmetologists to be licensed. To qualify for a license, candidates typically must graduate from a state-approved barber or cosmetology program and pass an exam.   Creativity ","Barbers, hairstylists, and cosmetologists work mostly in barbershops or salons. Most are full time, although part-time work is common. Work schedules may vary and often include evenings and weekends.","barbers, hairstylists, and cosmetologists.    Manicurists and pedicurists clean, shape, and beautify fingernails and toenails. Skincare specialists provide cleansing and other face and body treatments to enhance a person’s appearance."
33,Bartender,31510.0,"Bartenders mix drinks and serve them directly to customers or through wait staff.  Greet customers, offer menus, and inform them of specials  ","Bartenders typically do not need formal education credentials to enter the occupation, although some employers require or prefer for candidates to have a high school diploma. They typically learn their skills through on-the-job training that lasts a few weeks. Some bartenders gain experience in other jobs or occupations.   Communication skills. ","Bartenders work at restaurants, hotels, and other food service and drinking establishments. During busy hours, they are under pressure to serve customers quickly and efficiently. They often work late evenings, on weekends, and on holidays. Part-time work is common, and schedules may vary.","bartenders.    Flight attendants provide routine services and respond to emergencies to ensure the safety and comfort of airline passengers. Food and beverage serving and related workers take and prepare orders, clear tables, and do other tasks associated with providing food and drink to customers. Food preparation workers perform a variety of tasks other than cooking, such as slicing meat and brewing coffee. Waiters and waitresses take orders and serve food and beverages to customers in dining establishments. Food service managers are responsible for the daily operation of restaurants or other establishments that prepare and serve food and beverages."
34,Bill and Account Collector,44250.0,Bill and account collectors try to recover payment on overdue bills. They negotiate repayment plans and help people find solutions to make it easier to pay their overdue bills.  Find consumers and businesses who have overdue bills  ,"Bill and account collectors typically need at least a high school diploma to enter the occupation, and they receive training on the job.   Communication skills. ",Many bill and account collectors work in a call center for a third-party collection agency rather than for the original creditor. Most work full time.,"bill and account collectors.    Bookkeeping, accounting, and auditing clerks compute, classify, and record data to help organizations keep complete and accurate financial records. Credit counselors advise and educate individuals or organizations on acquiring and managing debt. They also may provide guidance on credit issues and on budgeting, mortgages, or student financial aid packages. Customer service representatives interact with customers to handle complaints, process orders, and answer questions. Financial clerks do administrative work, help customers, and carry out transactions that involve money. Information clerks perform routine clerical duties, maintain records, collect data, and provide information to customers. Loan officers evaluate, authorize, or recommend approval of loan applications. Private detectives and investigators gather, analyze, and report information to clients regarding legal or personal matters. Tax examiners and collectors, and revenue agents determine how much is owed in taxes and collect tax from individuals and businesses on behalf of the government."
35,Biochemist or Biophysicist,107460.0,"Biochemists and biophysicists study the chemical and physical principles of living things and of biological processes, such as cell development, growth, heredity, and disease.  Plan and conduct complex projects in basic and applied research molecular biologists ",Biochemists and biophysicists need a Ph.D. to work in independent research-and-development positions. Most Ph.D. holders begin their careers in temporary postdoctoral research positions. Bachelor’s and master’s degree holders are qualified for some entry-level positions in biochemistry and biophysics.   Analytical skills. ,Biochemists and biophysicists typically work in laboratories and offices to conduct experiments and analyze the results. Most work full time.,"biochemists and biophysicists.    Agricultural and food scientists research ways to improve the efficiency and safety of agricultural establishments and products. Biological technicians assist biological and medical scientists with tasks such as laboratory setup, data collection, and observation. Bioengineers and biomedical engineers combine engineering principles with sciences to design and create equipment, devices, computer systems, and software. Chemists and materials scientists research and analyze the chemical properties of substances to develop new materials, products, or knowledge. Environmental scientists and specialists conduct research or investigations to protect the environment or human health. Medical scientists conduct research aimed at improving overall human health. Microbiologists study microorganisms such as bacteria, algae, and fungi. Natural sciences managers plan, supervise, or coordinate research and other activities in fields such as life sciences, physical sciences, mathematics, and statistics. Physicists and astronomers study the interactions of matter and energy. Zoologists and wildlife biologists study animals, those both in captivity and in the wild, and how they interact with their ecosystems."
36,Bioengineer or Biomedical Engineer,100730.0,"Bioengineers and biomedical engineers combine engineering principles with sciences to design and create equipment, devices, computer systems, and software.  Design equipment and devices, such as artificial internal organs, replacements for body parts, and machines for diagnosing medical problems Biochemical engineers ","Bioengineers and biomedical engineers typically need a bachelor’s degree in bioengineering, biomedical engineering, or a related engineering field. Some positions require a graduate degree.   Analytical skills. ","Bioengineers and biomedical engineers work in manufacturing, in research facilities, and for a variety of other employers. Most work full time, and some work more than 40 hours per week.","bioengineers and biomedical engineers.    Agricultural engineers solve problems concerning power supplies, machine efficiency, the use of structures and facilities, pollution and environmental issues, and the storage and processing of agricultural products. Architectural and engineering managers plan, direct, and coordinate activities in the fields of architecture and engineering. Biochemists and biophysicists study the chemical and physical principles of living things and of biological processes. Chemical engineers apply the principles of chemistry, physics, and engineering to design equipment and processes for manufacturing products such as gasoline, detergents, and paper. Electrical engineers design, develop, test, and supervise the manufacture of electrical equipment. Materials engineers develop, process, and test materials used to create a wide range of products. Mechanical engineers design, develop, build, and test mechanical and thermal sensors and devices. Medical scientists conduct research aimed at improving overall human health. Physicians and surgeons diagnose and treat injuries or illnesses and address health maintenance. Sales engineers sell business products or services, such as software or support, that require technical expertise."
37,Biological Technician,51430.0,"Biological technicians help biological and medical scientists with tasks such as laboratory setup, data collection, and observation. They also may analyze organic substances, such as blood, food, and drugs.  Set up, maintain, and clean laboratory instruments and equipment, such as microscopes, scales, pipets, and test tubes laboratory assistants ","To enter the occupation, biological technicians typically need a bachelor’s degree in biology or a related field. Although less common, some positions are available to candidates who have less than a bachelor’s degree.   Analytical skills. ",Biological technicians typically work in laboratories and offices. Most work full time.,"biological technicians.    Agricultural and food science technicians help scientists with testing and research related to plants, animals, fibers, and food and beverage products. Biochemists and biophysicists study the chemical and physical principles of living things and of biological processes. Chemical technicians conduct laboratory tests to help scientists analyze the properties of materials. Environmental science and protection technicians monitor the environment and investigate sources of pollution and contamination, including those affecting public health. Epidemiologists are public health workers who investigate patterns and causes of disease and injury. Forensic science technicians aid criminal investigations by collecting and analyzing evidence. Clinical laboratory technologists and technicians perform medical laboratory tests for the diagnosis, treatment, and prevention of disease. Medical scientists conduct research aimed at improving overall human health. Microbiologists study microorganisms such as bacteria, algae, and fungi. Zoologists and wildlife biologists study animals, those both in captivity and in the wild, and how they interact with their ecosystems."
38,Boilermaker,71140.0,"Boilermakers assemble, install, maintain, and repair boilers, closed vats, and other large vessels or containers that hold liquids and gases.  Read blueprints to determine locations, positions, and dimensions of boiler parts  ",Most boilermakers learn their trade through an apprenticeship program.   Mechanical skills. ,Boilermakers do physically demanding work. They may travel to worksites and be away from home for extended periods.,"boilermakers.    Assemblers and fabricators build finished products and the parts that go into them. Stationary engineers and boiler operators control stationary engines, boilers, or other mechanical equipment. Welders, cutters, solderers, and brazers use hand-held or remotely controlled equipment to join, repair, or cut metal parts and products. Machinists and tool and die makers set up and operate equipment to produce precision metal parts, instruments, and tools. Industrial machinery mechanics, machinery maintenance workers, and millwrights install, maintain, and repair factory equipment and other industrial machinery. Plumbers, pipefitters, and steamfitters install and repair piping fixtures and systems. Sheet metal workers fabricate or install products that are made from thin metal sheets. Insulation workers install and replace the materials used to insulate buildings or mechanical systems. Elevator and escalator installers and repairers install, maintain, and fix elevators, escalators, moving walkways, and other lifts. Ironworkers install structural and reinforcing iron and steel to form and support buildings, bridges, and roads."
39,"Bookkeeping, Accounting, or Auditing Clerk",47440.0,"Bookkeeping, accounting, and auditing clerks compute, classify, and record data to help organizations keep complete and accurate financial records.  Use bookkeeping software, spreadsheets, and databases Bookkeeping clerks ","Entry requirements vary for bookkeeping, accounting, and auditing clerks. Some employers require or prefer that workers have taken college courses or have a degree in accounting or a related field. Others may hire workers who have a high school diploma. These workers also learn some of their skills on the job.   Analytical skills.  ","Bookkeeping, accounting, and auditing clerks usually work in an office setting. Most work full time.","bookkeeping, accounting, and auditing clerks.    Accountants and auditors prepare and examine financial records. Budget analysts help public and private organizations plan their finances. Cost estimators collect and analyze data in order to assess the time, money, materials, and labor required to make a product or provide a service. Financial clerks do administrative work, help customers, and carry out transactions that involve money. Loan officers evaluate, authorize, or recommend approval of loan applications. Tax examiners and collectors, and revenue agents determine how much is owed in taxes and collect tax from individuals and businesses on behalf of the government. Bill and account collectors try to recover payment on overdue bills. Buyers and purchasing agents buy products and services for organizations. Purchasing managers oversee the work of buyers and purchasing agents. Secretaries and administrative assistants do routine clerical and organizational tasks. Tellers process routine transactions, such as cashing checks and depositing money, at a bank or credit union."
40,"Broadcast, Sound, or Video Technician",54160.0,"Broadcast, sound, and video technicians set up, operate, and maintain the electrical equipment for radio programs, television broadcasts, concerts, sound recordings, and movies.  Operate, monitor, and adjust audio, video, sound, lighting, and broadcast equipment to ensure consistent quality technicians ","Broadcast, sound, and video technicians typically need postsecondary education. Depending on the work they do, educational requirements may vary.   Communication skills. ","Broadcast, sound, and video technicians typically work indoors in radio, television, movie, and recording studios. They may also work in hotels, arenas, offices, or schools.","broadcast, sound, and video technicians.    Computer support specialists maintain computer networks and provide technical help to computer users. Electrical and electronic engineering technologists and technicians help engineers design and develop equipment that is powered by electricity or electric current. Electrical and electronics installers and repairers install or repair a variety of electrical equipment. Film and video editors and camera operators manipulate moving images that entertain or inform an audience. Announcers present news and sports or may interview guests on media such as radio and television. Disc jockeys (DJs) act as masters of ceremonies (emcees) or play recorded music at weddings, parties, or clubs. News analysts, reporters, and journalists keep the public updated about current events and noteworthy information. Telecommunications technicians install, maintain, and repair radio, internet, and other telecommunications infrastructure."
41,Budget Analyst,84940.0,Budget analysts help public and private organizations plan their finances. They prepare budget reports and monitor organizational spending.  Work with program and project managers to develop the organization’s budget  ,"Budget analysts typically need a bachelor's degree to enter the occupation. Some employers prefer to hire applicants who have a master's degree. Courses in accounting, economics, and statistics are helpful.   Analytical skills. ","Budget analysts work in government agencies, private companies, and universities. Most work full time.","budget analysts.    Accountants and auditors prepare and examine financial records. Cost estimators collect and analyze data in order to assess the time, money, materials, and labor required to make a product or provide a service. Economists conduct research, prepare reports, and evaluate issues related to monetary and fiscal policy. They also may collect and analyze statistical data. Financial analysts guide businesses and individuals in decisions about expending money to attain profit. Financial managers create financial reports, direct investment activities, and develop plans for the long-term financial goals of their organization. Management analysts recommend ways to improve an organization’s efficiency. Tax examiners and collectors, and revenue agents determine how much is owed in taxes and collect tax from individuals and businesses on behalf of the government. Actuaries use mathematics, statistics, and financial theory to analyze the economic costs of risk and uncertainty. Financial examiners ensure compliance with laws that govern institutions handling monetary transactions. Insurance underwriters evaluate insurance applications and decide whether to approve them."
42,Bus Driver,48230.0,"Bus drivers transport people between various places—including school, work, and shopping centers—and across state and national borders. Some drive set routes, and others transport passengers on chartered trips or sightseeing tours. They drive a range of vehicles, from 15-passenger buses to 60-foot articulated buses (with two connected sections) that can carry more than 100 passengers.  Pick up and drop off passengers at designated locations School bus drivers ","Bus drivers must have a commercial driver’s license (CDL), which they sometimes earn during on-the-job training. They also need a good driving record and must meet physical, hearing, and vision requirements. In addition, bus drivers typically need a high school diploma or the equivalent and may be required to pass a background check.   Customer-service skills ","Part-time work is common for bus drivers. Drivers’ schedules may vary and include early mornings, evenings, or weekends. Many bus drivers work for schools, and they work only when schools are in session. Driving through heavy traffic or bad weather and dealing with unruly passengers can be stressful for bus drivers.","bus drivers.    Delivery truck drivers and driver/sales workers pick up, transport, and drop off packages and small shipments within a local region or urban area. Heavy and tractor-trailer truck drivers transport goods from one location to another. Railroad workers ensure that passenger and freight trains operate safely. They may drive trains, coordinate the activities of the trains, or control signals and switches in the rail yard. Water transportation workers operate and maintain vessels that take cargo and people over water. Taxi drivers (including ride-hailing drivers), shuttle drivers, and chauffeurs transport people to and from the places they need to go."
43,Butcher,37650.0,"Butchers cut, trim, and package meat for retail sale.  Receive, inspect, and store meat upon delivery  ",Butchers typically need no formal educational credential to enter the occupation. They learn their skills through on-the-job training.   Customer-service skills. ,"Most butchers work in grocery stores and specialty meat shops. The work can be physically demanding and may include exposure to repetitive motions, dangerous equipment, and cold temperatures.","butchers.    Chefs and head cooks oversee the daily food preparation at restaurants and other places where food is served. Food processing equipment workers operate machinery that mixes, cooks, or processes ingredients for manufacturing food products. Food preparation workers perform a variety of tasks other than cooking, such as slicing meat and brewing coffee."
44,Calibration Technologist or Technician,62790.0,"Calibration technologists and technicians inspect, adjust, and test measurement devices against standards, such as those used in manufacturing, healthcare, and other industries.  Inspect equipment for defects  ",Calibration technologists and technicians typically need an associate’s degree or other postsecondary training in a technical or scientific field. Some workers enter the occupation with a high school diploma and learn their skills on the job.   Communication skills. ,Calibration technologists and technicians work in a variety of settings. Most work full time.,"calibration technologists and technicians.    Assemblers and fabricators build finished products and the parts that go into them. Industrial engineering technologists and technicians help engineers solve problems affecting manufacturing layout or production. Industrial engineers design, develop, and test integrated systems for managing industrial production processes. Industrial machinery mechanics, machinery maintenance workers, and millwrights install, maintain, and repair factory equipment and other industrial machinery. Industrial production managers oversee the operations of manufacturing and related plants. Mechanical engineering technologists and technicians help mechanical engineers design, develop, test, and manufacture machines and other devices. Materials engineers develop, process, and test materials used to create a wide range of products."
45,Career or Technical Education Teacher,63580.0,"Career and technical education (CTE) teachers provide training in subjects such as auto repair, cosmetology, and culinary arts. They teach vocational and technical content to give students the skills and knowledge necessary to enter an occupation.  Create lesson plans and assignments agricultural, food, and natural resources ",Career and technical education teachers typically need at least a bachelor’s degree and work experience in the subject they teach. Public schools may require a state-issued teaching certification or license.  A bachelor’s degree with a minimum grade point average Communication skills. ,"Most career and technical education teachers work in middle, high, and postsecondary schools, such as 2-year colleges. Others work in technical, trade, and business schools. Although they generally work during school hours, some teach evening or weekend classes.","career and technical education teachers.    Elementary, middle, and high school principals oversee all school operations, including daily school activities. High school teachers teach academic lessons and various skills that students will need to attend college and to enter the job market. Instructional coordinators oversee school curriculums and teaching standards. They develop instructional material, implement it, and assess its effectiveness. Middle school teachers educate students, typically in sixth through eighth grades. Postsecondary teachers instruct students in a variety of academic subjects beyond the high school level. School counselors help students develop academic and social skills. Career counselors and advisors help people choose a path to employment. Special education teachers work with students who have a wide range of learning, mental, emotional, and physical disabilities. Teacher assistants work with a licensed teacher to give students additional attention and instruction. Adult basic and secondary education and ESL (English as a Second Language) teachers instruct adults in fundamental skills, such as reading and speaking English. They also help students earn their high school equivalency credential. Kindergarten and elementary school teachers instruct young students in basic subjects in order to prepare them for future schooling."
46,Carpenter,56350.0,"Carpenters construct, repair, and install building frameworks and structures made from wood and other materials.  Follow blueprints and building plans to meet the needs of clients Construction carpenters ",Carpenters typically need a high school diploma and learn on the job or through apprenticeships.   Business skills. ,"Carpenters work indoors and outdoors on many types of construction projects, from installing kitchen cabinets to building highways and bridges.","carpenters.    Construction and building inspectors ensure that construction meets building codes and ordinances, zoning regulations, and contract specifications. Construction laborers and helpers perform tasks, such as using, supplying, or holding materials or tools and cleaning work areas and equipment, on construction sites. Drywall and ceiling tile installers hang wallboard and install ceiling tile inside buildings. Tapers prepare the wallboard for painting. General maintenance and repair workers fix and maintain machines, mechanical equipment, and buildings. Insulation workers install and replace the materials used to insulate buildings or mechanical systems. Roofers replace, repair, and install the roofs of buildings. Solar photovoltaic (PV) installers assemble, set up, and maintain rooftop or other systems that convert sunlight into energy. Flooring installers and tile and stone setters lay and finish carpet, wood, vinyl, tile, and other materials. Woodworkers manufacture a variety of products, such as cabinets and furniture, using wood, veneers, and laminates."
47,Cartographer or Photogrammetrist,76210.0,"Cartographers and photogrammetrists collect, analyze, and interpret geographic information to create and update maps and related products.  Collect and analyze data from surveys, satellite images, and other sources   ","Cartographers and photogrammetrists typically need a bachelor’s degree in cartography, geography, geomatics, surveying, or a related field. Some cartographers and photogrammetrists may need to be licensed.   Communication skills. ","Although cartographers and photogrammetrists spend much of their time in an office setting, some jobs require travel to locations that are being mapped. Most work full time.","cartographers and photogrammetrists.    Civil engineers plan, design, and supervise the construction and maintenance of building and infrastructure projects. Environmental scientists and specialists conduct research or investigations to protect the environment or human health. Geographers study the Earth and the distribution of its land, features, and inhabitants. Forest and conservation workers perform physical labor to improve the quality of natural areas such as forests, rangelands, and wetlands. Landscape architects design parks and other outdoor spaces. Surveying and mapping technicians collect data and make maps of the Earth's surface. Surveyors make precise measurements to determine property boundaries. Urban and regional planners develop comprehensive plans and programs for use of land and physical facilities in cities, counties, metropolitan areas, and other jurisdictions. Geological and hydrologic technicians support scientists and engineers in exploring, extracting, and monitoring natural resources."
48,Cashier,29720.0,"Cashiers process payments and disburse money in retail settings using cash registers, point-of-sale systems, or related equipment.  Greet customers  ",Cashiers typically have no formal education requirement to enter the occupation. They are trained on the job.   Communication skills. ,"Most cashiers work in establishments such as grocery stores, gasoline stations, and restaurants. Work schedules may vary to include evenings, weekends and holidays. Part-time work is common.","cashiers.    Customer service representatives interact with customers to handle complaints, process orders, and answer questions. Retail sales workers sell merchandise, spare and replacement parts, and equipment to customers. Tellers process routine transactions, such as cashing checks and depositing money, at a bank or credit union. Waiters and waitresses take orders and serve food and beverages to customers in dining establishments. Bartenders mix drinks and serve them directly to customers or through wait staff. Food and beverage serving and related workers take and prepare orders, clear tables, and do other tasks associated with providing food and drink to customers."
49,Chef or Head Cook,58920.0,"Chefs and head cooks oversee the daily food preparation at restaurants and other places where food is served. They direct kitchen staff and handle any food-related concerns.  Check the freshness of food and ingredients Executive chefs, head cooks, and chefs de cuisine ","To enter the occupation, chefs and head cooks typically need a high school diploma plus experience. Some attend a culinary program at a community college, technical school, culinary arts school, or 4-year college. Others learn through apprenticeship programs or in the Armed Forces.   Business skills. ","Chefs and head cooks work in restaurants, hotels, and other food service establishments. They often work early mornings, late evenings, weekends, and holidays. The work can be hectic and fast-paced. Most chefs and head cooks work full time.","chefs and head cooks.    Bakers mix ingredients according to recipes in order to make breads, pastries, and other baked goods. Cooks season and prepare foods, including soups, salads, entrees, and desserts. Food and beverage serving and related workers take and prepare orders, clear tables, and do other tasks associated with providing food and drink to customers. Food preparation workers perform a variety of tasks other than cooking, such as slicing meat and brewing coffee. Food service managers are responsible for the daily operation of restaurants or other establishments that prepare and serve food and beverages."
50,Chemical Engineer,112100.0,"Chemical engineers apply the principles of chemistry, physics, and engineering to design equipment and processes for manufacturing products such as gasoline, detergents, and paper.  Conduct research to develop new and improved manufacturing processes  ","To enter the occupation, chemical engineers typically need a bachelor’s degree in chemical engineering or a related field. Some employers prefer to hire candidates who have gained practical experience in an internship or a cooperative education program.   Analytical skills. ","Chemical engineers typically work in an office setting or in laboratories. Most chemical engineers work full time, and some work more than 40 hours per week.","chemical engineers.    Agricultural engineers solve problems concerning power supplies, machine efficiency, the use of structures and facilities, pollution and environmental issues, and the storage and processing of agricultural products. Architectural and engineering managers plan, direct, and coordinate activities in the fields of architecture and engineering. Bioengineers and biomedical engineers combine engineering principles with sciences to design and create equipment, devices, computer systems, and software. Chemical technicians conduct laboratory tests to help scientists analyze the properties of materials. Chemists and materials scientists research and analyze the chemical properties of substances to develop new materials, products, or knowledge. Materials engineers develop, process, and test materials used to create a wide range of products. Nuclear engineers research and develop projects or address problems concerning the release, control, and use of nuclear energy and nuclear waste disposal. Occupational health and safety specialists and technicians collect data on, analyze, and design improvements to work environments and procedures."
51,Chemical Technician,56750.0,Chemical technicians use laboratory instruments and techniques to help scientists analyze the properties of materials.  Monitor chemical processes and test product quality to make sure that they meet standards and specifications  ,"To enter the occupation, chemical technicians typically need an associate’s degree or 2 years of postsecondary education. Some positions require candidates to have a bachelor’s degree; others require a high school diploma. Most chemical technicians receive on-the-job training.   Analytical skills. ","Chemical technicians often work in laboratories or in manufacturing facilities, such as chemical manufacturing plants. Most technicians work full time.","chemical technicians.    Agricultural and food science technicians help scientists with testing and research related to plants, animals, fibers, and food and beverage products. Biological technicians assist biological and medical scientists with tasks such as laboratory setup, data collection, and observation. Chemical engineers apply the principles of chemistry, physics, and engineering to design equipment and processes for manufacturing products such as gasoline, detergents, and paper. Chemists and materials scientists research and analyze the chemical properties of substances to develop new materials, products, or knowledge. Environmental science and protection technicians monitor the environment and investigate sources of pollution and contamination, including those affecting public health. Forensic science technicians aid criminal investigations by collecting and analyzing evidence. Geological and hydrologic technicians support scientists and engineers in exploring, extracting, and monitoring natural resources. Clinical laboratory technologists and technicians perform medical laboratory tests for the diagnosis, treatment, and prevention of disease. Nuclear technicians assist physicists, engineers, and other scientists in nuclear power generation and production activities, such as operating or maintaining nuclear testing equipment."
52,Chemist or Materials Scientist,87180.0,"Chemists and materials scientists research and analyze the chemical properties of substances to develop new materials, products, or knowledge.  Plan and carry out research projects, such as development of products and of testing methods Analytical chemists ","To enter the occupation, chemists and materials scientists typically need at least a bachelor’s degree in chemistry or a related field. However, they may need a master’s degree or Ph.D. for some jobs, such as research positions.   Analytical skills. ","Chemists and materials scientists work in laboratories, offices, and manufacturing facilities. Most work full time.","chemists and materials scientists.    Biochemists and biophysicists study the chemical and physical principles of living things and of biological processes. Chemical engineers apply the principles of chemistry, physics, and engineering to design equipment and processes for manufacturing products such as gasoline, detergents, and paper. Chemical technicians conduct laboratory tests to help scientists analyze the properties of materials. Environmental scientists and specialists conduct research or investigations to protect the environment or human health. Forensic science technicians aid criminal investigations by collecting and analyzing evidence. Geoscientists study the physical aspects of the Earth. High school teachers teach academic lessons and various skills that students will need to attend college and to enter the job market. Materials engineers develop, process, and test materials used to create a wide range of products. Natural sciences managers plan, supervise, or coordinate research and other activities in fields such as life sciences, physical sciences, mathematics, and statistics. Postsecondary teachers instruct students in a variety of academic subjects beyond the high school level."
53,Childcare Worker,30370.0,Childcare workers attend to children's needs while helping to foster early development. They may help younger children prepare for kindergarten or assist older children with homework.  Supervise and monitor the safety of children Childcare center workers ,"Education and training requirements vary by setting, state, and employer. They range from no formal education to a certification in early childhood education.   Communication skills. ","Childcare workers typically work in childcare centers, their own home, or private households. Part-time work and irregular hours are common.","childcare workers.    Kindergarten and elementary school teachers instruct young students in basic subjects in order to prepare them for future schooling. Preschool and childcare center directors supervise and lead their staffs, design program plans, oversee daily activities, and prepare budgets. Preschool teachers educate and care for children younger than age 5 who have not yet entered kindergarten. Special education teachers work with students who have a wide range of learning, mental, emotional, and physical disabilities. Teacher assistants work with a licensed teacher to give students additional attention and instruction."
54,Chiropractor,76530.0,"Chiropractors assess, treat, and care for patients by manipulating the spine and musculoskeletal system. They may provide spinal adjustment or address sacral or pelvic misalignment.  Review a patient's medical history and listen to their concerns  ","Chiropractors typically need a Doctor of Chiropractic (D.C.) degree. Completing a D.C. program typically takes about 4 years, in addition to at least 3 years of undergraduate study. Every state requires chiropractors to be licensed.   Communication skills.  ","Most chiropractors work in a solo or group chiropractic practice. Some are self-employed. Chiropractors usually work full time, but part-time work is common.","chiropractors.    Athletic trainers specialize in preventing, diagnosing, and treating muscle and bone injuries and illnesses. Massage therapists treat clients by applying pressure to manipulate the body's soft tissues and joints. Occupational therapists evaluate and treat people who have injuries, illnesses, or disabilities to help them with vocational, daily living, and other skills that promote independence. Physical therapists help injured or ill people improve movement and manage pain. Physicians and surgeons diagnose and treat injuries or illnesses and address health maintenance. Podiatrists provide medical and surgical care for people with foot, ankle, and lower leg problems. Exercise physiologists develop fitness and exercise programs to help people improve their health. Dentists diagnose and treat problems with patients’ teeth, gums, and related parts of the mouth. Optometrists diagnose, manage, and treat conditions and diseases of the human eye and visual system, including examining eyes and prescribing corrective lenses."
55,Civil Engineering Technologist or Technician,60700.0,"Civil engineering technologists and technicians help civil engineers plan, design, and build highways, bridges, utilities, and other infrastructure projects. They also help to plan, design, and build commercial, industrial, residential, and land development projects.  Read and review project drawings and plans to determine the sizes of structures  ","An associate’s degree, preferably in civil engineering technology, is typically required to enter the occupation.   Critical-thinking skills. ","Civil engineering technologists and technicians work in offices, helping civil engineers plan and design projects. They also visit construction jobsites to collect or test materials or to observe activities as a project inspector.","civil engineering technologists and technicians.    Civil engineers plan, design, and supervise the construction and maintenance of building and infrastructure projects. Drafters use software to convert the designs of engineers and architects into technical drawings. Surveying and mapping technicians collect data and make maps of the Earth's surface. Surveyors make precise measurements to determine property boundaries."
56,Civil Engineer,95890.0,"Civil engineers plan, design, and supervise the construction and maintenance of building and infrastructure projects. These projects may include facilities, bridges, roads, tunnels, and water and sewage systems.  Analyze plans, survey reports, maps, and other data related to project design Construction engineers ","Civil engineers typically need a bachelor’s degree in civil engineering or a related field. Although licensure requirements vary by state, civil engineers usually must be licensed if they provide services directly to the public.   Communication skills. ","Civil engineers work in a variety of locations and conditions, commonly splitting their time between an office setting and construction sites. Most civil engineers work full time, and some work more than 40 hours per week.","civil engineers.    Architects plan and design houses, factories, office buildings, and other structures. Civil engineering technologists and technicians help civil engineers plan, design, and build infrastructure and development projects. Construction managers plan, coordinate, budget, and supervise construction projects from start to finish. Environmental engineers use engineering disciplines in developing solutions to problems of planetary health. Landscape architects design parks and other outdoor spaces. Mechanical engineers design, develop, build, and test mechanical and thermal sensors and devices. Surveyors make precise measurements to determine property boundaries. Urban and regional planners develop comprehensive plans and programs for use of land and physical facilities in cities, counties, metropolitan areas, and other jurisdictions. Architectural and engineering managers plan, direct, and coordinate activities in the fields of architecture and engineering. Project management specialists coordinate the budget, schedule, staffing, and other details of a project."
